relation_pair_key,pred_label,entity1_canonical_text,entity1_type,entity2_canonical_text,entity2_type,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,unique_pmid_count,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title
"(1S,2R,3S,5S,6R,7S,8R)-1,6,8,9,10,11,11-heptachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene||ChemicalEntity -- chlordane||ChemicalEntity",Association,chlordane,ChemicalEntity,"(1S,2R,3S,5S,6R,7S,8R)-1,6,8,9,10,11,11-heptachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene",ChemicalEntity,General association,1,8.728759,8.729,11383340,1,1,True,False,Chlordane components and metabolites in seven species of Arctic seabirds from the Northwater Polynya: relationships with stable isotopes of nitrogen and enantiomeric fractions of chiral components.
"(1S,2S,3S,6R,7R,8R)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene||ChemicalEntity --> endrin||ChemicalEntity",Negative_Correlation,"(1S,2S,3S,6R,7R,8R)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.13,6.02,7]dodeca-4,9-diene",ChemicalEntity,endrin,ChemicalEntity,Negative effect,1,5.8692694,5.869,12779227,1,1,True,False,Screening and determination of pesticides in soil using continuous subcritical water extraction and gas chromatography-mass spectrometry.
"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36R,37R,38R,39R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol||ChemicalEntity -- cypermethrin||ChemicalEntity",Association,cypermethrin,ChemicalEntity,"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36R,37R,38R,39R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol",ChemicalEntity,General association,1,5.9473677,5.947,24682062,1,1,True,False,"TDDFT study of UV-vis spectra of permethrin, cypermethrin and their beta-cyclodextrin inclusion complexes: a comparison of dispersion correction DFT (DFT-D3) and DFT."
"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36R,37R,38R,39R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol||ChemicalEntity -- permethrin||ChemicalEntity",Association,permethrin,ChemicalEntity,"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36R,37R,38R,39R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol",ChemicalEntity,General association,9,9.174168,7.905,16571020,2,5,True,False,Bioactive permethrin/beta-cyclodextrin inclusion complex.
"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36R,37R,38R,39R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol||ChemicalEntity --> permethrin||ChemicalEntity",Negative_Correlation,"(1S,3R,5R,6S,8R,10R,11S,13R,15R,16S,18R,20R,21S,23R,25R,26S,28R,30R,31S,33R,35R,36R,37R,38R,39R,40R,41R,42R,43R,44R,45R,46R,47R,48R,49R)-5,10,15,20,25,30,35-heptakis(hydroxymethyl)-2,4,7,9,12,14,17,19,22,24,27,29,32,34-tetradecaoxaoctacyclo[31.2.2.23,6.28,11.213,16.218,21.223,26.228,31]nonatetracontane-36,37,38,39,40,41,42,43,44,45,46,47,48,49-tetradecol",ChemicalEntity,permethrin,ChemicalEntity,Negative effect,2,8.06849,8.068,16571020,1,1,True,False,Bioactive permethrin/beta-cyclodextrin inclusion complex.
"(1S,6R,13S)-16,17-dimethoxy-6-prop-1-en-2-yl-2,7,20-trioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3(11),4(8),9,14,16,18-hexaen-12-one||ChemicalEntity --> glyphosate||ChemicalEntity",Positive_Correlation,"(1S,6R,13S)-16,17-dimethoxy-6-prop-1-en-2-yl-2,7,20-trioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3(11),4(8),9,14,16,18-hexaen-12-one",ChemicalEntity,glyphosate,ChemicalEntity,Positive effect,1,6.582872,6.583,20027135,1,1,True,False,A review: oxidative stress in fish induced by pesticides.
"(1S,9R)-1-methyl-16-azatetracyclo[7.6.1.02,7.010,15]hexadeca-2,4,6,10,12,14-hexaene||ChemicalEntity -- chlorpyrifos||ChemicalEntity",Association,chlorpyrifos,ChemicalEntity,"(1S,9R)-1-methyl-16-azatetracyclo[7.6.1.02,7.010,15]hexadeca-2,4,6,10,12,14-hexaene",ChemicalEntity,General association,1,6.224215,6.224,23194828,1,0,True,False,Long term compulsivity on the 5-choice serial reaction time task after acute Chlorpyrifos exposure.
"(2,2-dimethyl-1,3-benzodioxol-4-yl) N-methylcarbamate||ChemicalEntity -- carbophos||ChemicalEntity",Comparison,"(2,2-dimethyl-1,3-benzodioxol-4-yl) N-methylcarbamate",ChemicalEntity,carbophos,ChemicalEntity,Comparison,1,4.9844217,4.984,1673728,1,1,True,False,The operational costs of spraying residual insecticides: a case-study from Nepal.
"(2,5-dioxopyrrolidin-1-yl) 4-formylbenzoate||ChemicalEntity -- carbophos||ChemicalEntity",Association,"(2,5-dioxopyrrolidin-1-yl) 4-formylbenzoate",ChemicalEntity,carbophos,ChemicalEntity,General association,1,7.3793902,7.379,22899460,1,1,True,False,"Pesticide occurrence and aquatic benchmark exceedances in urban surface waters and sediments in three urban areas of California, USA, 2008-2011."
"(2,5-dioxopyrrolidin-1-yl) 4-formylbenzoate||ChemicalEntity -- dianat||ChemicalEntity",Association,"(2,5-dioxopyrrolidin-1-yl) 4-formylbenzoate",ChemicalEntity,dianat,ChemicalEntity,General association,1,7.3793902,7.379,22899460,1,1,True,False,"Pesticide occurrence and aquatic benchmark exceedances in urban surface waters and sediments in three urban areas of California, USA, 2008-2011."
"(2,5-dioxopyrrolidin-1-yl) 4-formylbenzoate||ChemicalEntity -- trichlopyr||ChemicalEntity",Association,"(2,5-dioxopyrrolidin-1-yl) 4-formylbenzoate",ChemicalEntity,trichlopyr,ChemicalEntity,General association,1,7.3793902,7.379,22899460,1,1,True,False,"Pesticide occurrence and aquatic benchmark exceedances in urban surface waters and sediments in three urban areas of California, USA, 2008-2011."
(2-butan-2-ylphenyl) N-methylcarbamate||ChemicalEntity -- aldicarb||ChemicalEntity,Association,(2-butan-2-ylphenyl) N-methylcarbamate,ChemicalEntity,aldicarb,ChemicalEntity,General association,1,8.532743,8.533,24197220,1,1,True,False,Isolation and characterization of fenobucarb-degrading bacteria from rice paddy soils.
(2-methylphenyl) diphenyl phosphate||ChemicalEntity --> methomyl||ChemicalEntity,Negative_Correlation,(2-methylphenyl) diphenyl phosphate,ChemicalEntity,methomyl,ChemicalEntity,Negative effect,1,6.294911,6.295,33713268,1,1,True,False,Synthetic organic chemicals (flame retardants and pesticides) with neurotoxic potential induced behavioral impairment on zebrafish (Danio rerio): a non-invasive approach for neurotoxicology.
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity -- disulfoton||ChemicalEntity,Association,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,disulfoton,ChemicalEntity,General association,2,3.6914306,3.598,6642106,2,2,True,False,Unidirectional cross-tolerance between the carbamate insecticide propoxur and the organophosphate disulfoton in mice.
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity -- etofenprox||ChemicalEntity,Association,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,etofenprox,ChemicalEntity,General association,1,9.385194,9.385,31290534,1,1,True,False,"Adulticide Resistance Status of Aedes albopictus (Diptera: Culicidae) in Sabah, Malaysia: A Statewide Assessment."
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity -- organophosphate||ChemicalEntity,Association,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,organophosphate,ChemicalEntity,General association,3,9.384315,5.578,2280048 | 6642106,3,2,True,False,Toxicity of several insecticide formulations against adult German cockroaches (Dictyoptera: Blattellidae).
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity -- permethrin||ChemicalEntity,Association,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,permethrin,ChemicalEntity,General association,1,9.437511,9.438,7601496,1,1,True,False,"Susceptibility status of two species of Japanese encephalitis vectors to insecticides in the Thar desert, district Bikaner (Rajasthan)."
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity -- phoxim||ChemicalEntity,Association,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,phoxim,ChemicalEntity,General association,1,6.867369,6.867,33357546,1,1,True,False,Susceptibility of Dermanyssus gallinae from China to acaricides and functional analysis of glutathione S-transferases associated with beta-cypermethrin resistance.
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity --> bendiocarb||ChemicalEntity,Negative_Correlation,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,bendiocarb,ChemicalEntity,Negative effect,1,7.6982346,7.698,29417094,1,1,True,False,"Fine-scale spatial and temporal heterogeneities in insecticide resistance profiles of the malaria vector, Anopheles arabiensis in rural south-eastern Tanzania."
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity --> fipronil||ChemicalEntity,Positive_Correlation,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,fipronil,ChemicalEntity,Positive effect,1,9.239886,9.24,20231772,1,0,True,False,Efficacy of imidacloprid and fipronil gels over synthetic pyrethroid and propoxur aerosols in control of German cockroaches (Dictyoptera: Blatellidae).
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity --> lambda-cyhalothrin||ChemicalEntity,Positive_Correlation,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,lambda-cyhalothrin,ChemicalEntity,Positive effect,1,6.30701,6.307,9474559,1,1,True,False,Susceptibility of Lutzomyia longipalpis (Diptera: Psychodidae) to selected insecticides in an endemic focus of visceral leishmaniasis in Venezuela.
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity --> methomyl||ChemicalEntity,Negative_Correlation,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,methomyl,ChemicalEntity,Negative effect,1,6.0239725,6.024,406567,1,1,True,False,[Radiometric determination of 11 carbamate pesticides in the nanogram and subnanongram ranges by means of cholinesterase inhibition].
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity --> permethrin||ChemicalEntity,Positive_Correlation,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,permethrin,ChemicalEntity,Positive effect,1,8.098642,8.099,16883275,1,0,True,False,Resistance development and insecticide susceptibility in Culex quinquefasciatus against selection pressure of malathion and permethrin and its relationship to cross-resistance towards propoxur.
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity --> pyrethroid||ChemicalEntity,Negative_Correlation,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,pyrethroid,ChemicalEntity,Negative effect,1,6.2535505,6.254,20429463,1,1,True,False,Insecticide resistance profiles and synergism in field populations of the German cockroach (Dictyoptera: Blattellidae) from Singapore.
(2-propan-2-yloxyphenyl) N-methylcarbamate||ChemicalEntity --> transfluthrin||ChemicalEntity,Positive_Correlation,(2-propan-2-yloxyphenyl) N-methylcarbamate,ChemicalEntity,transfluthrin,ChemicalEntity,Positive effect,1,6.065276,6.065,19019354,1,1,True,False,"Combined analysis of prenatal (maternal hair and blood) and neonatal (infant hair, cord blood and meconium) matrices to detect fetal exposure to environmental pesticides."
"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol||ChemicalEntity -- acetamiprid||ChemicalEntity",Association,acetamiprid,ChemicalEntity,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",ChemicalEntity,General association,1,7.9239664,7.924,31916150,1,1,True,False,Protective effects of melatonin and vitamin E in acetamiprid-induced nephrotoxicity.
"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol||ChemicalEntity -- deiquat||ChemicalEntity",Association,deiquat,ChemicalEntity,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",ChemicalEntity,General association,1,6.529505,6.53,1867643,1,1,True,False,Relationships between ascorbic acid and alpha-tocopherol during diquat-induced redox cycling in isolated rat hepatocytes.
"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol||ChemicalEntity -- fipronil||ChemicalEntity",Association,fipronil,ChemicalEntity,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",ChemicalEntity,General association,1,9.667676,9.668,25752424,1,1,True,False,Fipronil induced oxidative stress in kidney and brain of mice: protective effect of vitamin E and vitamin C.
"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol||ChemicalEntity --> acetamiprid||ChemicalEntity",Negative_Correlation,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",ChemicalEntity,acetamiprid,ChemicalEntity,Negative effect,1,6.3622336,6.362,28395332,1,1,True,False,Acetamiprid inhibits testosterone synthesis by affecting the mitochondrial function and cytoplasmic adenosine triphosphate production in rat Leydig cells.
"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol||ChemicalEntity --> deiquat||ChemicalEntity",Negative_Correlation,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",ChemicalEntity,deiquat,ChemicalEntity,Negative effect,1,6.4703684,6.47,1867643,1,0,True,False,Relationships between ascorbic acid and alpha-tocopherol during diquat-induced redox cycling in isolated rat hepatocytes.
(2R)-2-(ethylamino)-3-phenylpropanal||ChemicalEntity --> clofenotane||ChemicalEntity,Positive_Correlation,(2R)-2-(ethylamino)-3-phenylpropanal,ChemicalEntity,clofenotane,ChemicalEntity,Positive effect,1,8.496401,8.496,28486186,1,1,True,False,A review on the application of constructed wetlands for the removal of priority substances and contaminants of emerging concern listed in recently launched EU legislation.
"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one||ChemicalEntity -- deiquat||ChemicalEntity",Association,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",ChemicalEntity,deiquat,ChemicalEntity,General association,1,8.451088,8.451,1867643,1,1,True,False,Relationships between ascorbic acid and alpha-tocopherol during diquat-induced redox cycling in isolated rat hepatocytes.
"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one||ChemicalEntity -- fipronil||ChemicalEntity",Association,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",ChemicalEntity,fipronil,ChemicalEntity,General association,1,8.073931,8.074,25752424,1,1,True,False,Fipronil induced oxidative stress in kidney and brain of mice: protective effect of vitamin E and vitamin C.
"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one||ChemicalEntity -- pyriproxyfen||ChemicalEntity",Association,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",ChemicalEntity,pyriproxyfen,ChemicalEntity,General association,1,8.024989,8.025,33019596,1,1,True,False,Vitamin C Attenuates Oxidative Stress and Behavioral Abnormalities Triggered by Fipronil and Pyriproxyfen Insecticide Chronic Exposure on Zebrafish Juvenile.
"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one||ChemicalEntity --> deiquat||ChemicalEntity",Negative_Correlation,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",ChemicalEntity,deiquat,ChemicalEntity,Negative effect,2,6.4703684,6.454,1867643,1,2,True,False,Relationships between ascorbic acid and alpha-tocopherol during diquat-induced redox cycling in isolated rat hepatocytes.
"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one||ChemicalEntity --> deiquat||ChemicalEntity",Positive_Correlation,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",ChemicalEntity,deiquat,ChemicalEntity,Positive effect,1,4.73826,4.738,1867643,1,1,True,False,Relationships between ascorbic acid and alpha-tocopherol during diquat-induced redox cycling in isolated rat hepatocytes.
"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate||ChemicalEntity --> paraquat||ChemicalEntity",Negative_Correlation,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate",ChemicalEntity,paraquat,ChemicalEntity,Negative effect,1,9.244953,9.245,1369090,1,1,True,False,"Metabolic response to treatment with cold, paraquat, or 3-amino-1,2,4-triazole in leaves of winter wheat."
(2R)-2-acetamido-3-sulfanylpropanoic acid||ChemicalEntity --> cypermethrin||ChemicalEntity,Negative_Correlation,(2R)-2-acetamido-3-sulfanylpropanoic acid,ChemicalEntity,cypermethrin,ChemicalEntity,Negative effect,1,8.371445,8.371,27322250,1,1,True,False,Cypermethrin Induces Macrophages Death through Cell Cycle Arrest and Oxidative Stress-Mediated JNK/ERK Signaling Regulated Apoptosis.
(2R)-2-amino-3-benzylsulfanylpropanoic acid||ChemicalEntity -- DEET||ChemicalEntity,Association,(2R)-2-amino-3-benzylsulfanylpropanoic acid,ChemicalEntity,DEET,ChemicalEntity,General association,1,7.9672813,7.967,29957431,1,1,True,False,"Pharmaceuticals, hormones, pesticides, and other bioactive contaminants in water, sediment, and tissue from Rocky Mountain National Park, 2012-2013."
(2R)-2-amino-3-sulfopropanoic acid||ChemicalEntity -- mirex||ChemicalEntity,Association,(2R)-2-amino-3-sulfopropanoic acid,ChemicalEntity,mirex,ChemicalEntity,General association,2,9.0728,9.073,16683630,1,2,True,False,Organochlorines in antarctic and arctic avian top predators: a comparison between the South Polar Skua and two species of northern hemisphere gulls.
(2R)-2-amino-3-sulfopropanoic acid||ChemicalEntity --> fipronil||ChemicalEntity,Positive_Correlation,(2R)-2-amino-3-sulfopropanoic acid,ChemicalEntity,fipronil,ChemicalEntity,Positive effect,1,8.721156,8.721,32460093,1,1,True,False,"Pesticides used in Europe and autism spectrum disorder risk: can novel exposure hypotheses be formulated beyond organophosphates, organochlorines, pyrethroids and carbamates? - A systematic review."
