final_relation_key,pred_label,entity1_display_name,entity1_canonical_text,entity1_type,entity1_merge_id,entity1_pubchem_cid,entity1_pubchem_inchikey,entity2_display_name,entity2_canonical_text,entity2_type,entity2_merge_id,entity2_pubchem_cid,entity2_pubchem_inchikey,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title,unique_pmid_count
INCHIKEY:IBSREHMXUMOFBB-JFUDTMANSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:carboxylesterase||GeneOrGeneProduct,Association,abamectin,abamectin,ChemicalEntity,INCHIKEY:IBSREHMXUMOFBB-JFUDTMANSA-N,9920327,IBSREHMXUMOFBB-JFUDTMANSA-N,carboxylesterase,carboxylesterase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:carboxylesterase,,,General association,1,10.128165,10.128,24766444,1,True,False,"Correlation between pesticide resistance and enzyme activity in the diamondback moth, Plutella xylostella.",1
INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:glutathione s-transferase||GeneOrGeneProduct,Association,beta-cypermethrin,beta-cypermethrin,ChemicalEntity,INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N,2912,KAATUXNTWXVJKI-UHFFFAOYSA-N,glutathione S-transferase,glutathione S-transferase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:glutathione s-transferase,,,General association,1,10.128165,10.128,24766444,1,True,False,"Correlation between pesticide resistance and enzyme activity in the diamondback moth, Plutella xylostella.",1
INCHIKEY:IQFYYKKMVGJFEH-XLPZGREQSA-N||ChemicalEntity -- INCHIKEY:TWFZGCMQGLPBSX-UHFFFAOYSA-N||ChemicalEntity,Association,carbendazim,carbendazim,ChemicalEntity,INCHIKEY:TWFZGCMQGLPBSX-UHFFFAOYSA-N,25429,TWFZGCMQGLPBSX-UHFFFAOYSA-N,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione","1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",ChemicalEntity,INCHIKEY:IQFYYKKMVGJFEH-XLPZGREQSA-N,5789,IQFYYKKMVGJFEH-XLPZGREQSA-N,General association,1,10.120121,10.12,14992470,1,True,False,Ring-testing and field-validation of a terrestrial model ecosystem (TME)--an instrument for testing potentially harmful substances: effects of carbendazim on soil microbial parameters.,1
INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N||ChemicalEntity -- TEXT:DiseaseOrPhenotypicFeature:degeneration of da neurons||DiseaseOrPhenotypicFeature,Association,cypermethrin,cypermethrin,ChemicalEntity,INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N,2912,KAATUXNTWXVJKI-UHFFFAOYSA-N,degeneration of DA neurons,degeneration of DA neurons,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:degeneration of da neurons,,,General association,1,10.1111145,10.111,20021062,1,True,False,Effects of cypermethrin on the dopaminergic neurons in the progressive hemiparkinsonian rats.,1
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:ctcyp6ex3||GeneOrGeneProduct,Association,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,CtCYP6EX3,CtCYP6EX3,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:ctcyp6ex3,,,General association,4,10.097356,9.203,28768160,4,True,False,Cytochrome P450 genes from the aquatic midge Chironomus tentans: Atrazine-induced up-regulation of CtCYP6EX3 enhanced the toxicity of chlorpyrifos.,1
INCHIKEY:CERQOIWHTDAKMF-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:WJNRPILHGGKWCK-UHFFFAOYSA-N||ChemicalEntity,Association,2-methylprop-2-enoic acid,2-methylprop-2-enoic acid,ChemicalEntity,INCHIKEY:CERQOIWHTDAKMF-UHFFFAOYSA-N,4093,CERQOIWHTDAKMF-UHFFFAOYSA-N,propazine,propazine,ChemicalEntity,INCHIKEY:WJNRPILHGGKWCK-UHFFFAOYSA-N,4937,WJNRPILHGGKWCK-UHFFFAOYSA-N,General association,1,10.094087,10.094,18192751,1,True,False,Synthesis and characterization of a propazine imprinted polymer for the extraction of triazines herbicides.,1
INCHIKEY:CVXBEEMKQHEXEN-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N||ChemicalEntity,Association,carbaril,carbaril,ChemicalEntity,INCHIKEY:CVXBEEMKQHEXEN-UHFFFAOYSA-N,6129,CVXBEEMKQHEXEN-UHFFFAOYSA-N,permethrin,permethrin,ChemicalEntity,INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N,40326,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,General association,1,10.094087,10.094,18177342,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.,1
INCHIKEY:DUBNHZYBDBBJHD-UHFFFAOYSA-L||ChemicalEntity -- INCHIKEY:ODCWYMIRDDJXKW-UHFFFAOYSA-N||ChemicalEntity,Association,simazine,simazine,ChemicalEntity,INCHIKEY:ODCWYMIRDDJXKW-UHFFFAOYSA-N,5216,ODCWYMIRDDJXKW-UHFFFAOYSA-N,ziram,ziram,ChemicalEntity,INCHIKEY:DUBNHZYBDBBJHD-UHFFFAOYSA-L,8722,DUBNHZYBDBBJHD-UHFFFAOYSA-L,General association,1,10.094087,10.094,18177342,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.,1
INCHIKEY:FSCWZHGZWWDELK-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:ODCWYMIRDDJXKW-UHFFFAOYSA-N||ChemicalEntity,Association,simazine,simazine,ChemicalEntity,INCHIKEY:ODCWYMIRDDJXKW-UHFFFAOYSA-N,5216,ODCWYMIRDDJXKW-UHFFFAOYSA-N,vinclozolin,vinclozolin,ChemicalEntity,INCHIKEY:FSCWZHGZWWDELK-UHFFFAOYSA-N,39676,FSCWZHGZWWDELK-UHFFFAOYSA-N,General association,1,10.094087,10.094,18177342,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.,1
INCHIKEY:KCXZNSGUUQJJTR-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:RIOXQFHNBCKOKP-UHFFFAOYSA-N||ChemicalEntity,Association,benomyl,benomyl,ChemicalEntity,INCHIKEY:RIOXQFHNBCKOKP-UHFFFAOYSA-N,28780,RIOXQFHNBCKOKP-UHFFFAOYSA-N,"dihexyl benzene-1,2-dicarboxylate","dihexyl benzene-1,2-dicarboxylate",ChemicalEntity,INCHIKEY:KCXZNSGUUQJJTR-UHFFFAOYSA-N,6786,KCXZNSGUUQJJTR-UHFFFAOYSA-N,General association,1,10.094087,10.094,18177342,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.,1
INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:RUYUCCQRWINUHE-UHFFFAOYSA-N||ChemicalEntity,Association,atrazine,atrazine,ChemicalEntity,INCHIKEY:MXWJVTOOROXGIU-UHFFFAOYSA-N,2256,MXWJVTOOROXGIU-UHFFFAOYSA-N,"1,2,3,4,5-pentachloro-6-(1,2,2-trichloroethenyl)benzene","1,2,3,4,5-pentachloro-6-(1,2,2-trichloroethenyl)benzene",ChemicalEntity,INCHIKEY:RUYUCCQRWINUHE-UHFFFAOYSA-N,34466,RUYUCCQRWINUHE-UHFFFAOYSA-N,General association,1,10.094087,10.094,18177342,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.,1
INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N||ChemicalEntity -- TEXT:DiseaseOrPhenotypicFeature:infectious diseases||DiseaseOrPhenotypicFeature,Association,permethrin,permethrin,ChemicalEntity,INCHIKEY:RLLPVAHGXHCWKJ-UHFFFAOYSA-N,40326,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,infectious diseases,infectious diseases,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:infectious diseases,,,General association,1,10.094087,10.094,18177342,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.,1
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:mir-19a||GeneOrGeneProduct,Association,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,miR-19a,miR-19a,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:mir-19a,,,General association,1,10.090741,10.091,31310849,1,True,False,Chlorpyrifos induced oxidative stress to promote apoptosis and autophagy through the regulation of miR-19a-AMPK axis in common carp.,1
INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:poba||GeneOrGeneProduct,Association,beta-cypermethrin,beta-cypermethrin,ChemicalEntity,INCHIKEY:KAATUXNTWXVJKI-UHFFFAOYSA-N,2912,KAATUXNTWXVJKI-UHFFFAOYSA-N,pobA,pobA,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:poba,,,General association,2,10.065147,8.444,26298261,2,True,False,Quantitative response relationships between degradation rates and functional genes during the degradation of beta-cypermethrin in soil.,1
INCHIKEY:PGOOBECODWQEAB-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:cyp4c1||GeneOrGeneProduct,Association,clothianidin,clothianidin,ChemicalEntity,INCHIKEY:PGOOBECODWQEAB-UHFFFAOYSA-N,86287519,PGOOBECODWQEAB-UHFFFAOYSA-N,CYP4c1,CYP4c1,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:cyp4c1,,,General association,2,10.050062,9.332,35735842,2,True,False,Characterization of Insecticide Response-Associated Transcripts in the Colorado Potato Beetle: Relevance of Selected Cytochrome P450s and Clothianidin.,1
INCHIKEY:ZOCSXAVNDGMNBV-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:mir-194a||GeneOrGeneProduct,Association,fipronil,fipronil,ChemicalEntity,INCHIKEY:ZOCSXAVNDGMNBV-UHFFFAOYSA-N,3352,ZOCSXAVNDGMNBV-UHFFFAOYSA-N,miR-194a,miR-194a,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:mir-194a,,,General association,6,10.049868,9.644,27267425,6,True,False,miRNA-216 and miRNA-499 target cyb561d2 in zebrafish in response to fipronil exposure.,1
INCHIKEY:NRXQIUSYPAHGNM-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:rbabcg2||GeneOrGeneProduct,Association,ioxynil,ioxynil,ChemicalEntity,INCHIKEY:NRXQIUSYPAHGNM-UHFFFAOYSA-N,15530,NRXQIUSYPAHGNM-UHFFFAOYSA-N,rbABCG2,rbABCG2,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:rbabcg2,,,General association,2,10.049868,10.05,27288731,2,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.,1
INCHIKEY:PYZSVQVRHDXQSL-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:rbabcg2||GeneOrGeneProduct,Association,dithianon,dithianon,ChemicalEntity,INCHIKEY:PYZSVQVRHDXQSL-UHFFFAOYSA-N,18771,PYZSVQVRHDXQSL-UHFFFAOYSA-N,rbABCG2,rbABCG2,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:rbabcg2,,,General association,2,10.049868,9.402,27288731,2,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.,1
INCHIKEY:FRCCEHPWNOQAEU-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:peroxidase||GeneOrGeneProduct,Association,heptachlor,heptachlor,ChemicalEntity,INCHIKEY:FRCCEHPWNOQAEU-UHFFFAOYSA-N,3589,FRCCEHPWNOQAEU-UHFFFAOYSA-N,peroxidase,peroxidase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:peroxidase,,,General association,1,10.049868,10.05,27272922,1,True,False,Perspectives of using fungi as bioresource for bioremediation of pesticides in the environment: a critical review.,1
INCHIKEY:NNKVPIKMPCQWCG-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:manganese peroxidase||GeneOrGeneProduct,Association,methamidophos,methamidophos,ChemicalEntity,INCHIKEY:NNKVPIKMPCQWCG-UHFFFAOYSA-N,4096,NNKVPIKMPCQWCG-UHFFFAOYSA-N,manganese peroxidase,manganese peroxidase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:manganese peroxidase,,,General association,1,10.049868,10.05,27272922,1,True,False,Perspectives of using fungi as bioresource for bioremediation of pesticides in the environment: a critical review.,1
INCHIKEY:NRXQIUSYPAHGNM-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:XQSPYNMVSIKCOC-NTSWFWBYSA-N||ChemicalEntity,Association,ioxynil,ioxynil,ChemicalEntity,INCHIKEY:NRXQIUSYPAHGNM-UHFFFAOYSA-N,15530,NRXQIUSYPAHGNM-UHFFFAOYSA-N,"4-amino-5-fluoro-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one","4-amino-5-fluoro-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one",ChemicalEntity,INCHIKEY:XQSPYNMVSIKCOC-NTSWFWBYSA-N,60877,XQSPYNMVSIKCOC-NTSWFWBYSA-N,General association,1,10.049868,10.05,27288731,1,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.,1
INCHIKEY:QNBTYORWCCMPQP-UHFFFAOYSA-N||ChemicalEntity -- TEXT:OrganismTaxon:rabbit||OrganismTaxon,Association,dimethomorph,dimethomorph,ChemicalEntity,INCHIKEY:QNBTYORWCCMPQP-UHFFFAOYSA-N,86298,QNBTYORWCCMPQP-UHFFFAOYSA-N,rabbit,rabbit,OrganismTaxon,TEXT:OrganismTaxon:rabbit,,,General association,1,10.049868,10.05,27288731,1,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.,1
"INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity -- TEXT:ChemicalEntity:1-(4,6-dimethoxypyrimidin-2-yl)-3-[(3-ethylsulfonyl-2-pyridinyl)sulfonyl]urea||ChemicalEntity",Association,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,"1-(4,6-dimethoxypyrimidin-2-yl)-3-[(3-ethylsulfonyl-2-pyridinyl)sulfonyl]urea","1-(4,6-dimethoxypyrimidin-2-yl)-3-[(3-ethylsulfonyl-2-pyridinyl)sulfonyl]urea",ChemicalEntity,"TEXT:ChemicalEntity:1-(4,6-dimethoxypyrimidin-2-yl)-3-[(3-ethylsulfonyl-2-pyridinyl)sulfonyl]urea",,,General association,1,10.049868,10.05,27288731,1,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.,1
INCHIKEY:HOKKPVIRMVDYPB-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:cyp6er1||GeneOrGeneProduct,Association,thiacloprid,thiacloprid,ChemicalEntity,INCHIKEY:HOKKPVIRMVDYPB-UHFFFAOYSA-N,115224,HOKKPVIRMVDYPB-UHFFFAOYSA-N,CYP6ER1,CYP6ER1,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:cyp6er1,,,General association,3,10.047106,8.619,36812404,3,True,False,Importance of CYP6ER1 Was Different among Neonicotinoids in Their Susceptibility in Nilaparvata lugens.,1
INCHIKEY:OMFRMAHOUUJSGP-IRHGGOMRSA-N||ChemicalEntity -- INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N||ChemicalEntity,Association,imidacloprid,imidacloprid,ChemicalEntity,INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N,86287518,YWTYJOPNNQFBPC-UHFFFAOYSA-N,bifenthrin,bifenthrin,ChemicalEntity,INCHIKEY:OMFRMAHOUUJSGP-IRHGGOMRSA-N,6442842,OMFRMAHOUUJSGP-IRHGGOMRSA-N,General association,2,10.040912,8.846,17523144 | 24772547,2,True,False,Sustainable management tactics for control of Phyllotreta cruciferae (Coleoptera: Chrysomelidae) on canola in Montana.,2
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:carboxylesterase||GeneOrGeneProduct,Association,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,carboxylesterase,carboxylesterase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:carboxylesterase,,,General association,1,10.040912,10.041,24766444,1,True,False,"Correlation between pesticide resistance and enzyme activity in the diamondback moth, Plutella xylostella.",1
INCHIKEY:JVTAAEKCZFNVCJ-UHFFFAOYSA-N||ChemicalEntity -- INCHIKEY:OMFRMAHOUUJSGP-IRHGGOMRSA-N||ChemicalEntity,Association,2-hydroxypropanoic acid,2-hydroxypropanoic acid,ChemicalEntity,INCHIKEY:JVTAAEKCZFNVCJ-UHFFFAOYSA-N,612,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,bifenthrin,bifenthrin,ChemicalEntity,INCHIKEY:OMFRMAHOUUJSGP-IRHGGOMRSA-N,6442842,OMFRMAHOUUJSGP-IRHGGOMRSA-N,General association,1,10.038782,10.039,23606131,1,True,False,"Stability of the pyrethroid pesticide bifenthrin in milled wheat during thermal processing, yeast and lactic acid fermentation, and storage.",1
INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:cyp6cy2||GeneOrGeneProduct,Association,imidacloprid,imidacloprid,ChemicalEntity,INCHIKEY:YWTYJOPNNQFBPC-UHFFFAOYSA-N,86287518,YWTYJOPNNQFBPC-UHFFFAOYSA-N,CYP6CY2,CYP6CY2,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:cyp6cy2,,,General association,3,10.03846,9.517,38879340,3,True,False,microRNA-3037 targeting CYP6CY2 confers imidacloprid resistance to Sitobion miscanthi (Takahashi).,1
INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N||ChemicalEntity -- TEXT:DiseaseOrPhenotypicFeature:neurotoxicity||DiseaseOrPhenotypicFeature,Association,chlorpyrifos,chlorpyrifos,ChemicalEntity,INCHIKEY:SBPBAQFWLVIOKP-UHFFFAOYSA-N,2730,SBPBAQFWLVIOKP-UHFFFAOYSA-N,neurotoxicity,neurotoxicity,DiseaseOrPhenotypicFeature,TEXT:DiseaseOrPhenotypicFeature:neurotoxicity,,,General association,4,10.03809,9.665,39075981,4,True,False,Effect of chlorpyrifos on cypermethrin-induced dopaminergic neurotoxicity in rats.,1
INCHIKEY:VXSIXFKKSNGRRO-MXOVTSAMSA-N||ChemicalEntity -- TEXT:GeneOrGeneProduct:glutathione-s-transferase||GeneOrGeneProduct,Association,pyrethroid,pyrethroid,ChemicalEntity,INCHIKEY:VXSIXFKKSNGRRO-MXOVTSAMSA-N,60202781,VXSIXFKKSNGRRO-MXOVTSAMSA-N,glutathione-S-transferase,glutathione-S-transferase,GeneOrGeneProduct,TEXT:GeneOrGeneProduct:glutathione-s-transferase,,,General association,1,10.023953,10.024,12495187,1,True,False,Cross-resistance to pyrethroid and organophosphorus insecticides induced by selection with temephos in Aedes aegypti (Diptera: Culicidae) from Cuba.,1
INCHIKEY:DQJCHOQLCLEDLL-UHFFFAOYSA-N||ChemicalEntity -- TEXT:ChemicalEntity:neonicotinoid||ChemicalEntity,Association,"8-methyl-[1,2,4]triazolo[3,4-b][1,3]benzothiazole","8-methyl-[1,2,4]triazolo[3,4-b][1,3]benzothiazole",ChemicalEntity,INCHIKEY:DQJCHOQLCLEDLL-UHFFFAOYSA-N,39040,DQJCHOQLCLEDLL-UHFFFAOYSA-N,neonicotinoid,neonicotinoid,ChemicalEntity,TEXT:ChemicalEntity:neonicotinoid,,,General association,1,10.019022,10.019,35037685,1,True,False,"MFI, BEA and FAU zeolite scavenging role in neonicotinoids and radical species elimination.",1
